Entity,Water withdrawals per kilogram,rank
Haddock risotto,0.171186965,165.0
Halloumi cheese,0.22407925,179.0
Ice cream,0.067664552,118.0
Ice lollies,0.095380086,141.0
Instant coffee,0.006280287,13.0
Kale,0.019464566,45.0
Kiwis,0.106130524,142.0
Lamb (leg),0.01284281,30.0
Lamb Hotpot,0.013735741,34.0
Lamb burgers,0.015536411,36.0
Lamb casserole,0.012588576,27.5
Lamb chops,0.012588576,27.5
Lamb curry,0.02216239,49.0
Lamb moussaka,0.041881229,74.0
Lasagne sheets,0.121932279,154.0
Lemons,0.017991703,43.0
Lentils,0.002078586,5.0
Lettuce,0.043074285,80.0
Limes,0.017763679,40.0
Macaroni cheese,0.243650125,184.0
Mackerel,0.578646624,209.0
Marmalade,0.134053706,161.0
Meat pizza,0.129014263,158.0
Meat-free burger,0.030925288,59.0
Meat-free mince,0.015708894,37.0
Meat-free nuggets,0.036699816,68.0
Meat-free sausages,0.025316213,54.0
Melon,0.090428193,139.0
Milk chocolate,0.080591937,134.0
Mixed salad,0.050099864,96.0
Mozzarella cheese,0.220155175,177.0
Muesli,0.050113783,97.0
Muffins,0.060301279,111.0
Mushrooms,0.213105068,176.0
Naan,0.041308476,73.0
Nut loaf,0.12926777,159.0
Oat milk,0.002104501,6.0
Olive oil,0.206117232,173.0
Onions,0.00785478,21.0
Orange juice,0.020829802,48.0
Oranges,0.01686331,39.0
Pain au chocolat,0.04486001,83.0
Pancakes,0.04973069,95.0
Parmesan cheese,0.329097241,196.0
Parsnips,0.001836043,3.0
Pasta shells,0.048709127,93.0
Peanut butter,0.382513348,199.0
Peanuts,0.31689277,193.0
Pears,0.11440509,147.0
Pecan nuts,0.445036301,201.0
Penne pasta,0.08969409,138.0
Peppers,0.052997725,102.0
Pineapple,0.115821047,151.0
Pitta bread,0.019617902,46.0
Popcorn,0.046266922,88.0
Poppadoms,0.042868573,78.0
Pork chops,0.239823069,182.0
Pork loin,0.235322096,181.0
Pork sausage rolls,0.114417411,148.0
Pork sausages,0.188732123,170.0
Porridge (oatmeal),0.033956818,64.0
Potato croquettes,0.010492361,23.0
Potatoes,0.011790868,25.0
Prawn crackers,0.119155926,152.0
Prawns,0.466971744,203.0
Protein bar,0.207968442,175.0
Protein shake,0.047151529,91.0
Pumpkin seeds,0.031041433,60.0
Quiche,0.066572051,116.0
Quinoa,0.030712693,57.0
Rapeseed oil,0.012939394,31.0
Raspberries,0.006664767,15.0
Raspberry jam,0.114911229,149.0
Rice,0.308827644,192.0
Rice milk,0.069243455,120.0
Rice noodles,0.273059735,188.0
Ricotta cheese,0.226273854,180.0
Salmon,0.198731284,171.0
Salmon fishcakes,0.156994546,163.0
Sausage rolls,0.113835266,146.0
Shepherd's pie,0.010837365,24.0
Shortbread biscuits,0.075071193,129.0
Sourdough bread,0.036306211,67.0
Soy desert,0.042238405,75.0
Soy milk,0.007360438,19.0
Soy yoghurt,0.028669465,55.0
Spaghetti,0.073163567,127.0
Spaghetti bolognese,0.123375641,156.0
Spinach,0.039418853,70.0
Sponge cake,0.071249505,124.0
Steak pie,0.106283318,143.0
Strawberries,0.050992928,101.0
Strawberry jam,0.138703468,162.0
Sugar,0.17561175,166.0
Sunflower oil,0.00337551,10.0
Sunflower seeds,0.0020712,4.0
Sweetcorn,0.022953898,51.0
Tea,0.009107236,22.0
Tofu,0.004542486,11.0
Tomato ketchup,0.072281461,125.0
Tomatoes,0.042589066,77.0
Tortilla wraps,0.033850299,63.0
Tuna,0.550847849,208.0
Vegan pizza,0.042914253,79.0
Vegetable lasagne,0.055928812,108.0
Ale,0.022259805,50.0
Ale,0.054731541,106.0
Almond butter,0.084594873,137.0
Almond milk,0.505082115,205.0
Almonds,0.108557922,144.0
Apple juice,0.013649775,33.0
Apple pie,0.045522718,87.0
