Entity,Emissions per kilogram,rank
Mozzarella cheese,0.123713676,186.0
Muesli,0.015938146,105.0
Muffins,0.018344502,116.0
Mushrooms,0.01656348,107.0
Naan,0.006221672,54.0
Nut loaf,0.003928154,21.0
Oat milk,0.001899055,5.0
Olive oil,0.038423153,152.0
Onions,0.001201047,2.0
Orange juice,0.002173624,11.0
Oranges,0.002001486,8.0
Pain au chocolat,0.020088214,120.0
Pancakes,0.010348373,78.0
Parmesan cheese,0.183797461,201.0
Parsnips,0.006039275,50.0
Pasta shells,0.006316997,57.0
Peanut butter,0.02491642,135.0
Peanuts,0.022687515,126.0
Pears,0.005544826,42.0
Pecan nuts,0.017821967,114.0
Penne pasta,0.010945081,82.0
Peppers,0.005491613,39.0
Pineapple,0.005594638,44.0
Pitta bread,0.002750374,16.0
Popcorn,0.012400373,89.0
Poppadoms,0.009984078,77.0
Pork chops,0.092300248,180.0
Pork loin,0.090853779,179.0
Pork sausage rolls,0.046160244,157.0
Pork sausages,0.073803995,171.0
Porridge (oatmeal),0.01040519,80.0
Potato croquettes,0.004376618,24.0
Potatoes,-7.25e-13,1.0
Prawn crackers,0.036479551,149.0
Prawns,0.15982659,200.0
Protein bar,0.024436961,132.0
Protein shake,0.011860796,87.0
Pumpkin seeds,0.008620468,69.0
Quiche,0.03442598,145.0
Quinoa,0.007189771,62.0
Rapeseed oil,0.023787315,128.0
Raspberries,0.063020443,167.0
Raspberry jam,0.0378265,151.0
Rice,0.028706354,141.0
Rice milk,0.009530004,75.0
Rice noodles,0.024732431,134.0
Ricotta cheese,0.124190543,188.0
Salmon,0.078780846,174.0
Salmon fishcakes,0.048621562,158.0
Sausage rolls,0.043556076,156.0
Shepherd's pie,0.058127398,162.0
Shortbread biscuits,0.015566617,102.0
Sourdough bread,0.00497058,29.0
Soy desert,0.006793155,60.0
Soy milk,0.005294344,36.0
Soy yoghurt,0.002228985,12.0
Spaghetti,0.011106484,83.0
Spaghetti bolognese,0.058880661,164.0
Spinach,0.006189973,53.0
Sponge cake,0.012893057,92.0
Steak pie,0.053223438,159.0
Strawberries,0.023424645,127.0
Strawberry jam,0.0184451,117.0
Sugar,0.012694179,90.0
Sunflower oil,0.026664423,138.0
Sunflower seeds,0.013332886,93.0
Sweetcorn,0.005897211,49.0
Tea,0.134427269,192.0
Tofu,0.006280582,56.0
Tomato ketchup,0.018546471,118.0
Tomatoes,0.015935096,104.0
Tortilla wraps,0.005722595,46.0
Tuna,0.099336384,181.0
Vegan pizza,0.013438487,95.0
Vegetable lasagne,0.024462357,133.0
Ale,0.009433461,74.0
Ale,0.008506138,67.0
Almond butter,0.038796376,153.0
Almond milk,0.017052834,110.0
Almonds,0.00588331,48.0
Apple juice,0.011699857,86.0
Apple pie,0.022421837,125.0
