Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Pineapple,0.932008033,1.01530539,14.00261503,14274.44631,793.0396442,34.64125018
Pitta bread,0.563560786,1.804065836,4.081491771,4853.897026,134.3955015,18.80295476
Popcorn,1.813625906,3.181777233,8.917384885,8631.517365,316.8450536,128.1015578
Poppadoms,1.50061802,4.95539256,22.66945672,7616.897846,293.5786351,133.4939726
Pork chops,12.16389084,17.30831247,76.00038775,57088.76904,1642.005709,286.7359723
Pork loin,11.97651449,16.4635789,75.59216611,57525.90423,1611.190295,294.3676871
Pork sausage rolls,6.186894385,7.925934664,34.12438751,28143.64363,783.4298075,198.8155915
Pork sausages,9.76787802,13.55954805,60.90160707,45559.16489,1292.217224,238.4178108
Porridge (oatmeal),1.555169024,4.985335013,10.48190143,8600.315522,232.565297,94.47030789
Potato croquettes,0.774225122,1.407054589,4.630590456,2664.93791,71.9184978,18.59772997
Potatoes,0.207276162,0.804448726,1.440415094,7340.237186,80.80858006,5.214464823
Prawn crackers,4.93285324,5.467811935,53.65846023,25995.93342,815.8715249,165.5851105
Prawns,20.91128278,1.017164883,154.7668461,112126.9124,3197.153873,21.88870234
Protein bar,3.372850787,11.12826845,12.16902172,67106.9495,1423.916544,446.111204
Protein shake,1.743728919,5.642653148,7.090676822,6877.318103,322.9014169,131.8524485
Pumpkin seeds,1.323975417,3.336552011,5.709214654,7409.417527,212.6054338,100.4919578
Quiche,4.666832656,5.589517789,18.21115841,12242.38909,455.8618671,248.2491635
Quinoa,1.138642233,3.231874424,5.669842854,7388.279832,210.3547542,96.11611086
Rapeseed oil,3.288695422,7.214231961,15.36370522,3755.448398,88.67183561,103.1417376
Raspberries,8.370972003,1.544836003,4.960923998,3090.698624,45.713304,26.033676
Raspberry jam,5.107337593,1.95881011,14.22861301,11008.57717,786.8106753,54.78522077
Rice,3.925909801,2.936660536,26.45104593,43467.18888,2114.437865,42.37499937
Rice milk,1.441797077,0.518395363,5.668575343,9387.363547,474.1513327,5.23050381
Rice noodles,3.411126114,2.488023662,22.40058397,38578.81926,1869.556847,31.38532461
Ricotta cheese,16.29497359,18.96872234,55.20656814,33023.84305,1549.242511,1025.064955
