Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Beef burger,0.41507574895133864,0.3160938228263077,0.9999999999746612,0.18402566926398586,0.5100495293587157,0.33587753596625153
Beef curry,0.13247946976952552,0.08199506455199718,0.45586864147418543,0.10039468416089799,0.26303138473514764,0.12292132487081864
Beef meatballs,0.5448506946238358,0.5026518178122646,0.6415142741337154,0.12914328401803504,0.32541323133513367,0.36392137886535564
Beef mince,0.7320285239571853,0.6906382848183334,0.7741949635467534,0.1411509515487891,0.3642595303964849,0.4801744951115159
Beef noodles,0.01607867114229917,0.008634289993385988,0.024889333569451364,0.032054007774108696,0.053037697583882895,0.016070593660762283
Beef steak,0.9999999997992838,1.0000000000391043,0.6511063193542508,0.12165750416099017,0.285445262130241,0.6131728354165267
Beer,0.003697741530341134,0.001013103303493642,0.002925855511806169,0.006571039840063669,0.017868201057986265,0.003409049808798588
Beetroot,0.018920458400370023,0.00866306560765898,0.013856886032768488,0.0007247761787994274,0.0016255112507259845,0.005163691148645497
Biscuits,0.02919531857321002,0.017529488637423197,0.023572736160018818,0.020245699504518527,0.070269455176617,0.1178275626431219
Blue cheese,0.1536082273083295,0.05503588632587802,0.12006352001907672,0.09764907308310597,0.27682700161114665,0.24898116405764548
Brazil nuts,0.01779965621305697,0.029079732023673466,0.033352001568609645,0.3618870474452538,0.47772846393075263,0.050033277404591764
Bread,0.00518359124634668,0.004323469643237594,0.00872366193627351,0.01920712690006455,0.0353222529910264,0.006228946048858338
Breakfast cereal,0.009928568462262657,0.005855290874713005,0.015038612728312258,0.03082839566282853,0.07332610309141153,0.0075653537987205545
Brie,0.14614976962542217,0.05166826656819407,0.11421337811062766,0.09084828748822292,0.2578680364928349,0.22793265495761023
Broccoli,0.0053274897477896405,0.0014244414387989477,0.007054021264967608,0.03825002855999541,0.03283782003035269,0.001621931645011046
Butter,0.024063736799547132,0.007552516605352045,0.01685421667317435,0.015270137570491872,0.03965216965380788,0.030780180320986502
Cabbage,0.005272545901115889,0.0009541132191641705,0.009043175270222043,0.011439918954558098,0.01916749291144837,0.00028821869410338704
Caesar salad,0.014450415640191097,0.005517735760901818,0.011036682961305106,0.027128075600963916,0.04464873762411412,0.01612472678689722
Camembert,0.12408599556784404,0.04368104404000947,0.09807208178425283,0.07923024447298713,0.22342232575904208,0.19143383823267926
Carrot cake,0.013921875388929182,0.005595716055455013,0.015914726516843704,0.024238403469270337,0.07550090272033322,0.01674554577613865
Carrots,0.005618996055699969,0.0028258729089127555,0.00848568814215852,0.0019159803897071546,0.0021684618695229753,0.0001906359664445044
Cashew nuts,0.014515684123818332,0.02652746662490044,0.03275723292813737,0.4060319413391134,0.5118406195540538,0.04777880744200768
Cauliflower,0.005283678903403629,0.0009204814177269584,0.008568010531094725,0.013292559888145629,0.01998954885904539,0.000357939223352174
Cereal bars,0.020426887767235925,0.012098379756671903,0.022819371902105708,0.06864699678611923,0.12317284911804463,0.06224347425211685
Cheddar cheese,0.15857417644849736,0.0563449624468059,0.12508401553809834,0.09999724081915866,0.2833361609312147,0.24747825418346278
Cheesecake,0.016689967273582566,0.0051333856196794925,0.015961755095321967,0.022564995053350686,0.06729109491232534,0.017187373619741767
Cherry tomatoes,0.01589529770891417,0.0012531060919867443,0.008819584670373129,0.018615381030195464,0.04651818236653494,0.0011000426528789665
Chia seeds,0.007822092841101828,0.007102589096171052,0.008673371060339073,0.018730590552687738,0.030792850654330996,0.01911202010246768
Chicken breast,0.06997851203380148,0.020671965902857282,0.06547749509190862,0.034162308435465145,0.08235485308874657,0.04261282452735039
Chicken burger,0.04035196065275145,0.01325269665890455,0.038611395661050055,0.024334098821857355,0.05536385468283176,0.026758192908167312
Chicken curry,0.026318189586739756,0.008390749356554405,0.029132116403022462,0.027713004864174606,0.06369896970239126,0.0170888189327927
Chicken noodles,0.016803397960953658,0.006833664413789674,0.018325428319756355,0.029172161005002042,0.060344851218059214,0.013285919549566741
Chicken pasta,0.021147746782097493,0.0074486329997851515,0.020222442087818263,0.026051503944126395,0.04526697830149311,0.015648209798396095
Chicken sausages,0.06142503766372648,0.01858639766932261,0.060023245701869676,0.029779341783117044,0.07055250285816168,0.03716718098851649
Chicken thighs,0.07545601389591072,0.022149459676435237,0.07001908002646418,0.034871646446313055,0.08429963921315593,0.044838892430214265
Chicken wings,0.0723803327718587,0.02134188152004293,0.06847502232837142,0.038413209592955175,0.09227495642653459,0.0433000371447056
Chickpeas,0.008777774080696805,0.03553286444278801,0.015356138733381574,0.024233715157044384,0.02356010535552404,0.07226693810325596
Chilli con carne,0.10292947048373066,0.06537125593718952,0.3401551802334049,0.06837395776648222,0.18331115244802865,0.12988939636368335
Chocolate biscuits,0.03764386542304351,0.030847883734796307,0.02702759191555786,0.020300668931831373,0.07656220679248672,0.19771826675159535
Chocolate cake,0.028908669404942643,0.02327153415952998,0.022651724118784456,0.022310683221686677,0.07638182689860587,0.14283362457437687
Chocolate cereals,0.020614021570780423,0.016359382172699156,0.0219462563505885,0.07631477099793459,0.13140344905493295,0.07679794676380322
Chocolate cheesecake,0.03622920934429225,0.014324913607073447,0.024887527884788582,0.018290155789714796,0.07064464833965191,0.14829967506151348
Chocolate spread,0.03987190629566112,0.02105435432041679,0.0393925784557051,0.10600766856938469,0.17749613584785529,0.1794451865269173
