Entity,Eutrophication per kilogram,rank
Lamb (leg),0.040207246,156.0
Lamb Hotpot,0.017085131,97.0
Lamb burgers,0.035901104,150.0
Lamb casserole,0.040383679,157.0
Lamb chops,0.040384729,158.0
Lamb curry,0.021449948,116.0
Lamb moussaka,0.020462275,113.0
Lasagne sheets,0.020907744,115.0
Lemons,0.000744913,6.0
Lentils,0.048030016,161.0
Lettuce,0.007087462,38.0
Limes,0.000745485,7.0
Macaroni cheese,0.10247844,184.0
Mackerel,0.113276951,187.0
Marmalade,0.022531504,122.0
Meat pizza,0.058813295,164.0
Meat-free burger,0.014182914,79.0
Meat-free mince,0.014125943,78.0
Meat-free nuggets,0.005141591,26.0
Meat-free sausages,0.011260687,67.0
Melon,0.017871323,99.0
Milk chocolate,0.046342274,160.0
Mixed salad,0.002234014,12.0
Mozzarella cheese,0.097480549,180.0
Muesli,0.016841786,95.0
Muffins,0.014400628,81.0
Mushrooms,0.022087135,121.0
Naan,0.007546439,39.0
Nut loaf,0.00818477,45.0
Oat milk,0.000415342,2.0
Olive oil,0.059869401,166.0
Onions,0.000601441,4.0
Orange juice,0.001771605,11.0
Oranges,0.000708842,5.0
Pain au chocolat,0.015173879,85.0
Pancakes,0.011990885,69.0
Parmesan cheese,0.143630488,197.0
Parsnips,0.009044982,57.0
Pasta shells,0.008753037,51.0
Peanut butter,0.024240629,131.0
Peanuts,0.02811895,138.0
Pears,0.022856609,126.0
Pecan nuts,0.032842561,146.0
Penne pasta,0.017985053,101.0
Peppers,0.00266067,16.0
Pineapple,0.023175779,128.0
Pitta bread,0.005208355,28.0
Popcorn,0.013966289,77.0
Poppadoms,0.038871665,154.0
Pork chops,0.135455431,195.0
Pork loin,0.134716131,194.0
Pork sausage rolls,0.059616856,165.0
Pork sausages,0.108111129,185.0
Porridge (oatmeal),0.016799671,94.0
Potato croquettes,0.006202788,31.0
Potatoes,0.000425293,3.0
Prawn crackers,0.094993593,178.0
Prawns,0.278103629,204.0
Protein bar,0.019855092,109.0
Protein shake,0.010658071,63.0
Pumpkin seeds,0.008156205,44.0
Quiche,0.030797566,141.0
Quinoa,0.008084902,43.0
Rapeseed oil,0.02564075,136.0
Raspberries,0.006801031,35.0
Raspberry jam,0.023585068,130.0
Rice,0.045720226,159.0
Rice milk,0.008082607,42.0
Rice noodles,0.038384729,152.0
Ricotta cheese,0.097797259,181.0
Salmon,0.102427372,183.0
Salmon fishcakes,0.061452568,168.0
Sausage rolls,0.05846592,163.0
Shepherd's pie,0.013193421,74.0
Shortbread biscuits,0.018683531,105.0
Sourdough bread,0.007623463,40.0
Soy desert,0.008961063,55.0
Soy milk,0.002803105,17.0
Soy yoghurt,0.004341699,22.0
Spaghetti,0.017917479,100.0
Spaghetti bolognese,0.172879084,202.0
Spinach,0.002468505,14.0
Sponge cake,0.014184027,80.0
Steak pie,0.16269498,201.0
Strawberries,0.004750746,24.0
Strawberry jam,0.022535946,123.0
Sugar,0.029021056,139.0
Sunflower oil,0.157291432,200.0
Sunflower seeds,0.087344004,175.0
Sweetcorn,0.005185253,27.0
Tea,0.118628254,191.0
Tofu,0.007861546,41.0
Tomato ketchup,0.01649577,93.0
Tomatoes,0.008725914,50.0
Tortilla wraps,0.006877598,36.0
Tuna,0.109286701,186.0
Vegan pizza,0.015569119,89.0
Vegetable lasagne,0.019279744,108.0
Ale,0.009985934,61.0
Ale,0.011127884,66.0
Almond butter,0.034134315,149.0
Almond milk,0.031760708,144.0
Almonds,0.021582078,117.0
Apple juice,0.006224454,32.0
Apple pie,0.015857021,90.0
